venue,b_bucket,n,b_mean,realized_up_rate
binance,0.0,474,0.024894514767932387,0.0
binance,0.05,204,0.07725490196078438,0.25980392156862747
binance,0.1,271,0.12363468634686345,0.3025830258302583
binance,0.15000000000000002,230,0.17232608695652177,0.4043478260869565
binance,0.2,244,0.22336065573770475,0.3401639344262295
binance,0.25,243,0.2750823045267491,0.5679012345679012
binance,0.30000000000000004,281,0.322811387900356,0.7508896797153025
binance,0.35000000000000003,350,0.37565714285714297,0.58
binance,0.4,427,0.4259250585480094,0.4894613583138173
binance,0.45,413,0.4725544794188861,0.5108958837772397
binance,0.5,524,0.5239122137404573,0.4637404580152672
binance,0.55,432,0.5743171296296299,0.47685185185185186
binance,0.6000000000000001,411,0.6243065693430656,0.5912408759124088
binance,0.65,283,0.6730388692579509,0.7314487632508834
binance,0.7000000000000001,280,0.7257678571428575,0.925
binance,0.75,234,0.7752564102564106,0.8162393162393162
binance,0.8,250,0.8242199999999996,0.812
binance,0.8500000000000001,295,0.8785762711864399,0.9050847457627119
binance,0.9,259,0.9274517374517369,0.9034749034749034
binance,0.9500000000000001,434,0.9721543778801858,0.9101382488479263
binance_eth,0.0,197,0.028857868020304548,0.0
binance_eth,0.05,198,0.0681060606060606,0.20707070707070707
binance_eth,0.1,193,0.12663212435233157,0.22279792746113988
binance_eth,0.15000000000000002,263,0.17473384030418265,0.19771863117870722
binance_eth,0.2,276,0.22507246376811596,0.21014492753623187
binance_eth,0.25,290,0.27308620689655205,0.38620689655172413
binance_eth,0.30000000000000004,255,0.3233725490196079,0.5137254901960784
binance_eth,0.35000000000000003,234,0.36683760683760686,0.5598290598290598
binance_eth,0.4,191,0.4170418848167537,0.5026178010471204
binance_eth,0.45,269,0.47144981412639403,0.5427509293680297
binance_eth,0.5,281,0.5245195729537367,0.5729537366548043
binance_eth,0.55,274,0.5719890510948906,0.6058394160583942
binance_eth,0.6000000000000001,304,0.622483552631579,0.5657894736842105
binance_eth,0.65,269,0.6719516728624533,0.6356877323420075
binance_eth,0.7000000000000001,254,0.7189566929133857,0.8661417322834646
binance_eth,0.75,309,0.7709708737864079,0.889967637540453
binance_eth,0.8,227,0.8251321585903086,0.9691629955947136
binance_eth,0.8500000000000001,298,0.8749496644295293,0.912751677852349
binance_eth,0.9,175,0.9220285714285715,0.9657142857142857
binance_eth,0.9500000000000001,185,0.9709729729729712,0.9675675675675676
okx,0.0,251,0.03046015936254982,0.0398406374501992
okx,0.05,310,0.07327419354838706,0.23870967741935484
okx,0.1,234,0.12282264957264959,0.3888888888888889
okx,0.15000000000000002,171,0.1749122807017544,0.25146198830409355
okx,0.2,131,0.22232824427480924,0.35877862595419846
okx,0.25,153,0.27130718954248373,0.5228758169934641
okx,0.30000000000000004,160,0.3245937499999999,0.70625
okx,0.35000000000000003,161,0.37322981366459623,0.6149068322981367
okx,0.4,180,0.423861111111111,0.6888888888888889
okx,0.45,170,0.4736470588235293,0.6764705882352942
okx,0.5,191,0.5220942408376964,0.6073298429319371
okx,0.55,154,0.5759415584415585,0.6753246753246753
okx,0.6000000000000001,199,0.6272613065326632,0.7185929648241206
okx,0.65,119,0.6726890756302522,0.7058823529411765
okx,0.7000000000000001,90,0.7215,0.7111111111111111
okx,0.75,107,0.7739252336448599,0.6355140186915887
okx,0.8,108,0.8208333333333334,0.8148148148148148
okx,0.8500000000000001,224,0.8774107142857138,0.9151785714285714
okx,0.9,298,0.9283791946308715,1.0
okx,0.9500000000000001,461,0.9766561822125822,1.0
polymarket,0.0,278,0.02818345323741005,0.0
polymarket,0.05,225,0.07879999999999998,0.17333333333333334
polymarket,0.1,224,0.12310267857142865,0.36160714285714285
polymarket,0.15000000000000002,187,0.1738770053475935,0.40641711229946526
polymarket,0.2,267,0.22382022471910104,0.5580524344569289
polymarket,0.25,219,0.2725114155251142,0.410958904109589
polymarket,0.30000000000000004,320,0.32607812500000005,0.521875
polymarket,0.35000000000000003,399,0.37325814536340846,0.7042606516290727
polymarket,0.4,282,0.4250531914893617,0.7021276595744681
polymarket,0.45,280,0.4723035714285713,0.7107142857142857
polymarket,0.5,239,0.5269874476987446,0.7280334728033473
polymarket,0.55,369,0.5774254742547423,0.7344173441734417
polymarket,0.6000000000000001,336,0.6237351190476191,0.7083333333333334
polymarket,0.65,291,0.6782302405498281,0.8487972508591065
polymarket,0.7000000000000001,330,0.7225909090909094,0.9454545454545454
polymarket,0.75,239,0.7767573221757318,0.803347280334728
polymarket,0.8,329,0.8243920972644377,0.8480243161094225
