gap_bucket,n,b_diff_mean,b_diff_std
,176,-0.014704545454545465,0.0700198598914678
-50.0,3,-0.065,0.00866025403784438
-45.0,9,-0.08388888888888889,0.03515837184954832
-40.0,7,-0.10714285714285714,0.01149534067102221
-35.0,12,-0.15633333333333335,0.04220584477691844
-30.0,28,-0.13717857142857143,0.06626255496489847
-25.0,259,-0.06826833976833976,0.06312656784102862
-20.0,629,-0.035098569157392685,0.053698866786253234
-15.0,1807,-0.02615218594355285,0.06966093387344476
-10.0,3914,-0.020011241696474193,0.09807571839428407
-5.0,10800,0.0071940277777777775,0.11594865812078317
-0.0,15383,-0.0078021192225183654,0.16814539904825535
5.0,9342,-0.027461250267608643,0.1396828635648825
10.0,3359,0.013417683834474552,0.09061773474536453
15.0,1531,0.040399738732854344,0.06565508188791992
20.0,506,0.03982015810276681,0.0558061644344587
25.0,138,0.040326086956521734,0.0507672753731171
30.0,55,0.014400000000000005,0.09133299878284228
35.0,6,0.047666666666666635,0.013291601358251276
