venue,tau_bucket,sigma_bps_sqrt_s,n
binance,120,0.9421265152756106,13652
binance,15,0.8991098921903178,1601
binance,180,0.8767230435521722,27470
binance,240,0.7690071834662939,26499
binance,30,0.7055110123230848,3578
binance,300,0.8402123194263368,20964
binance,60,0.7934364246256534,9443
binance,90,0.9121446562169818,12093
binance,all,0.8611897920657473,115300
binance_eth,120,0.9628641145267061,7227
binance_eth,15,0.8969943530829805,252
binance_eth,180,0.9087305621628522,15266
binance_eth,240,0.8014429901332094,14572
binance_eth,30,0.709400828929006,1621
binance_eth,300,0.9699976377467838,10921
binance_eth,60,0.7973755616227804,4870
binance_eth,90,0.8770228449361152,6688
binance_eth,all,0.8757009146195264,61417
okx,120,1.061164756369955,6394
okx,15,3.153981884806726,1183
okx,180,0.9563571821932668,12282
okx,240,0.7773820402210708,9770
okx,30,1.155846569836565,1985
okx,300,0.7038120606454079,4373
okx,60,1.3634700436154692,7170
okx,90,1.1328324716397637,6408
okx,all,1.3887995771645352,49565
polymarket,120,0.6380717276630035,12120
polymarket,180,0.6856161350559743,29402
polymarket,240,0.70348907087167,29267
polymarket,30,1.8547014867653173,702
polymarket,300,0.7650394068323815,23338
polymarket,60,0.6156081728502384,3833
polymarket,90,0.5998670321577019,9193
polymarket,all,0.6822512452149573,108007
polymarket_eth,120,0.6945886570738015,7914
polymarket_eth,180,0.740537536239488,18314
polymarket_eth,240,0.7094843341168826,19221
polymarket_eth,30,1.167374116537934,419
polymarket_eth,300,0.8457329662560348,15386
polymarket_eth,60,0.6560929284794379,2591
polymarket_eth,90,0.6462100234790554,5921
polymarket_eth,all,0.7186686273817224,69860
