venue,window_start_ms,ts_ms,jump_bps,implied_move,lag_ms
okx,1787683800000,1787684039001,-4.052109369083521,-0.057200305420528064,7000
okx,1787686800000,1787686932500,-3.0043810721453417,-0.0363734352782738,500
okx,1787685600000,1787685605501,-4.152457017653462,-0.03858751977409636,2499
okx,1787690400000,1787690564000,-5.0771110093136596,-0.060270053742377594,
okx,1787690400000,1787690582500,-3.1938718379403745,-0.04123191177203278,0
okx,1787690400000,1787690668500,-4.059143889651624,-0.05261724159384547,
polymarket,1787690700000,1787690787500,-7.9969654356310755,-0.22873759287579432,
polymarket,1787690700000,1787690788500,-7.513203857504158,-0.2298095487054389,
polymarket,1787690700000,1787690802001,-3.1036288259736775,-0.07224162922674221,1500
okx,1787683500000,1787683598500,3.0188583915414084,0.033760040398193025,0
okx,1787688300000,1787688346500,3.0333452213382746,0.030348852663318826,0
polymarket,1787692200000,1787692204500,-5.620224323236533,-0.14694795786880277,
polymarket,1787692200000,1787692206500,3.1442107720993038,0.0809975291856389,6500
polymarket,1787692200000,1787692217000,4.550348720396292,0.1152398203678191,
polymarket,1787692200000,1787692239000,3.1617876507594174,0.08262721456100752,1500
okx,1787689800000,1787689914014,4.671675176392344,0.05449840283603308,486
polymarket,1787691300000,1787691391000,-9.645616661295378,-0.27963642661252014,
polymarket,1787689500000,1787689618001,-3.6499061319288675,-0.09137674857321332,
okx,1787691300000,1787691386000,3.385188459189956,0.03691849624898613,0
okx,1787691300000,1787691388502,-9.133621691776675,-0.09955419503223961,0
polymarket,1787691600000,1787691673000,-3.575011285017646,-0.10851951382150837,2000
polymarket,1787691600000,1787691815001,-3.8357355286053374,-0.1553318782963662,999
polymarket,1787691600000,1787691817000,-3.944743473038945,-0.19670822694527096,
polymarket,1787691600000,1787691820500,3.644193641664987,0.18264665074580844,2001
okx,1787688000000,1787688247001,-3.0661127391931124,-0.03330056175691898,2499
polymarket,1787689800000,1787689916000,3.320887101745295,0.10615159189364942,
okx,1787691900000,1787692046501,-6.546577878703813,-0.07798016465157737,499
okx,1787691900000,1787692047000,-4.219474023383562,-0.04643765046803039,0
okx,1787691900000,1787692060500,-4.999437403464292,-0.036133191938884535,
okx,1787691900000,1787692080500,3.477869498061228,0.03348819958979232,0
okx,1787691900000,1787692084000,-4.308978017818596,-0.03775658976553603,7500
okx,1787691900000,1787692088000,-3.784740336126596,-0.020388205937047765,3500
okx,1787691900000,1787692094000,5.562033939914691,0.023777622316639095,3000
okx,1787691900000,1787692105001,6.70001329773557,0.04527873692610079,
okx,1787691900000,1787692113000,-3.273288939352838,-0.022419717396853903,
okx,1787691900000,1787692146500,-5.255163101851178,-0.05146826563889145,5500
okx,1787691900000,1787692148500,10.471967348943945,0.10068692238797788,500
okx,1787691900000,1787692149000,3.7847403361247416,0.055141622066974205,0
okx,1787691900000,1787692153000,3.055922095722501,0.038457415698952946,0
polymarket,1787688300000,1787688349500,4.51647151604348,0.12994666815733397,
okx,1787691000000,1787691057010,3.6050040524332623,0.032504538897184854,
okx,1787691000000,1787691065514,-3.579436647806446,-0.03260433077118208,0
okx,1787687700000,1787687751000,-3.117953709793451,-0.031469001622984716,0
okx,1787690700000,1787690785513,-8.780492778075809,-0.09448802740794959,0
okx,1787690700000,1787690786000,-7.939400581628369,-0.0862870661036318,0
okx,1787690700000,1787690799000,-3.5810137454843893,-0.0388354689539982,6000
okx,1787690700000,1787690818500,-3.377112606952519,-0.033770945052174206,0
okx,1787690700000,1787690831500,-3.1094923626272397,-0.027260285580094357,
okx,1787690700000,1787690869000,-3.122236183786292,-0.025848019225906682,
polymarket,1787691900000,1787692049001,-5.514903957383647,-0.1408372533110651,1000
polymarket,1787691900000,1787692049500,-7.165814156592239,-0.0931393418522606,501
okx,1787691600000,1787691776000,3.081928136084554,0.04388680098777065,0
okx,1787692200000,1787692318000,-4.7836519655939895,-0.04126956567778872,0
polymarket,1787691000000,1787691044500,4.889552923960737,0.08165007152351522,
polymarket,1787691000000,1787691045001,3.153502226065875,0.0373710972759016,
polymarket,1787691000000,1787691059531,5.578750378839615,0.047102824856881,
polymarket,1787691000000,1787691068500,-5.025556233199435,-0.04578460495418901,1000
polymarket,1787691000000,1787691163000,-4.201195503590975,-0.07394073769143561,8000
