spread_mult,max_book_age_s,max_ref_age_s,okx_share,okx_sigma,okx_brier,polymarket_share,polymarket_sigma,polymarket_brier,n_paired,abs_bdiff_mean
0.5,5.0,1.5,0.158,1.211,0.0692,0.628,0.676,0.1669,13123,0.0705
0.5,5.0,3.0,0.158,1.21,0.0692,0.648,0.677,0.1667,13557,0.0705
0.5,5.0,10.0,0.158,1.21,0.0692,0.651,0.677,0.1667,13622,0.0705
0.5,5.0,1000000000.0,0.158,1.21,0.0692,0.651,0.677,0.1667,13652,0.0705
0.5,10.0,1.5,0.16,1.232,0.0681,0.629,0.676,0.1669,13197,0.0704
0.5,10.0,3.0,0.161,1.232,0.0681,0.649,0.677,0.1667,13633,0.0704
0.5,10.0,10.0,0.161,1.232,0.0681,0.651,0.677,0.1667,13698,0.0704
0.5,10.0,1000000000.0,0.161,1.232,0.0681,0.651,0.676,0.1667,13728,0.0704
0.5,30.0,1.5,0.161,1.232,0.0679,0.63,0.676,0.167,13228,0.0703
0.5,30.0,3.0,0.161,1.232,0.0679,0.65,0.677,0.1668,13665,0.0703
0.5,30.0,10.0,0.161,1.232,0.0679,0.652,0.677,0.1668,13730,0.0702
0.5,30.0,1000000000.0,0.161,1.232,0.0679,0.652,0.676,0.1668,13760,0.0703
0.5,1000000000.0,1.5,0.161,1.232,0.0679,0.632,0.685,0.1666,13306,0.0703
0.5,1000000000.0,3.0,0.161,1.232,0.0679,0.653,0.686,0.1664,13744,0.0702
0.5,1000000000.0,10.0,0.161,1.232,0.0679,0.655,0.686,0.1664,13809,0.0702
0.5,1000000000.0,1000000000.0,0.161,1.232,0.0679,0.655,0.686,0.1664,13839,0.0703
1.0,5.0,1.5,0.295,1.171,0.1247,0.632,0.677,0.1671,34914,0.09
1.0,5.0,3.0,0.295,1.17,0.1246,0.652,0.678,0.167,36076,0.09
1.0,5.0,10.0,0.295,1.17,0.1246,0.655,0.678,0.167,36200,0.09
1.0,5.0,1000000000.0,0.295,1.17,0.1246,0.655,0.677,0.167,36269,0.09
1.0,10.0,1.5,0.298,1.189,0.1234,0.633,0.677,0.1672,35013,0.0899
1.0,10.0,3.0,0.298,1.189,0.1234,0.653,0.677,0.167,36177,0.0899
1.0,10.0,10.0,0.298,1.189,0.1234,0.655,0.677,0.167,36301,0.0899
1.0,10.0,1000000000.0,0.298,1.189,0.1234,0.655,0.677,0.167,36370,0.0898
1.0,30.0,1.5,0.298,1.19,0.1232,0.634,0.677,0.1672,35047,0.0898
