bucket,n,disagree_rate
0.0,97,0.28865979381443296
1.0,70,0.2571428571428571
2.0,66,0.12121212121212122
3.0,68,0.08823529411764708
4.0,56,0.1071428571428571
5.0,53,0.018867924528301883
6.0,55,0.018181818181818188
7.0,32,0.0625
8.0,47,0.0
9.0,38,0.0
10.0,32,0.0
11.0,22,0.0
12.0,19,0.0
13.0,21,0.0
14.0,17,0.0
15.0,11,0.0
16.0,15,0.0
17.0,14,0.0
18.0,8,0.0
19.0,7,0.0
20.0,10,0.0
21.0,7,0.0
22.0,4,0.0
23.0,10,0.0
24.0,5,0.0
25.0,6,0.0
26.0,2,0.0
27.0,3,0.0
28.0,7,0.0
29.0,2,0.0
30.0,4,0.0
31.0,4,0.0
32.0,1,0.0
33.0,3,0.0
36.0,1,0.0
37.0,3,0.0
38.0,1,0.0
39.0,2,0.0
43.0,1,0.0
44.0,1,0.0
48.0,1,0.0
50.0,1,0.0
