window_start_ms,outcome_okx,target_okx,settle_okx,outcome_pm,target_pm,settle_pm,agree,okx_move_bps,pm_move_bps,boundary_bps
1787679900000,UP,79138.7,79202.79,UP,,,true,8.098439827795568,,8.098439827795568
1787680200000,UP,79202.0,79217.353,UP,,,true,1.938461149971313,,1.938461149971313
1787680500000,UP,79190.0,79239.757,UP,,,true,6.283242833690844,,6.283242833690844
1787680800000,DOWN,79237.4,79234.307,UP,,,false,-0.39034597298668067,,0.39034597298668067
1787681100000,UP,79230.8,79255.58,DOWN,,,false,3.1275716009429204,,3.1275716009429204
1787681400000,UP,79266.9,79307.913,UP,,,true,5.174038596186591,,5.174038596186591
1787681700000,DOWN,79318.1,79269.473,DOWN,,,true,-6.1306309656948015,,6.1306309656948015
1787682000000,DOWN,79279.4,79268.547,UP,,,false,-1.3689558699975333,,1.3689558699975333
1787682300000,UP,79265.4,79271.233,DOWN,,,false,0.7358822386563015,,0.7358822386563015
1787682600000,DOWN,79270.3,79168.553,DOWN,,,true,-12.835450351519173,,12.835450351519173
1787682900000,DOWN,79157.0,79154.86,DOWN,,,true,-0.27034880048503834,,0.27034880048503834
1787683200000,UP,79157.4,79170.04,UP,,,true,1.5968184907537917,,1.5968184907537917
1787683500000,UP,79169.0,79203.13,UP,,,true,4.311030832776043,,4.311030832776043
1787683800000,DOWN,79218.0,79069.827,DOWN,,,true,-18.70446110732349,,18.70446110732349
1787684100000,UP,79068.1,79139.0,UP,,,true,8.966953803113288,,8.966953803113288
1787684400000,DOWN,79124.0,79057.177,DOWN,,,true,-8.445351600020722,,8.445351600020722
1787684700000,UP,79024.4,79078.843,DOWN,,,false,6.88939112476644,,6.88939112476644
1787685000000,UP,79078.7,79163.303,UP,,,true,10.698582551306837,,10.698582551306837
1787685300000,UP,79159.4,79226.183,UP,,,true,8.436521752313732,,8.436521752313732
1787685600000,DOWN,79230.2,79165.563,DOWN,,,true,-8.158126572948502,,8.158126572948502
1787685900000,DOWN,79170.0,78931.69,DOWN,,,true,-30.10104837691015,,30.10104837691015
1787686200000,DOWN,78928.0,78860.67,DOWN,,,true,-8.53055949726355,,8.53055949726355
1787686500000,UP,78889.7,78893.59,UP,,,true,0.4930935217144213,,0.4930935217144213
1787686800000,DOWN,78884.8,78739.457,DOWN,78793.68232767947,,true,-18.424715534552668,,18.424715534552668
1787687100000,UP,78748.0,78764.01,UP,,,true,2.03306750647569,,2.03306750647569
1787687400000,UP,78764.4,78925.433,UP,,,true,20.4448964252899,,20.4448964252899
1787687700000,UP,78897.9,78936.9,UP,78919.87633559687,78916.24808591956,true,4.94309734479625,-0.4597383885748755,0.4597383885748755
1787688000000,DOWN,78927.3,78756.82,DOWN,78916.24808591956,78783.5531159184,true,-21.599623957742875,-16.814657718736218,16.814657718736218
1787688300000,UP,78790.9,78854.86,UP,78783.5531159184,78853.26157714128,true,8.117688717860363,8.8480981709867,8.117688717860363
1787688600000,DOWN,78865.7,78864.987,UP,78853.26157714128,78870.15543094247,false,-0.0904068562129514,2.1424419818905176,0.0904068562129514
1787688900000,UP,78882.6,78961.58,UP,78870.15543094247,78952.33814061244,true,10.012347463191619,10.420000977673835,10.012347463191619
1787689200000,DOWN,78961.8,78917.717,DOWN,78952.33814061244,78889.48376608486,true,-5.582826126050662,-7.961052960285946,5.582826126050662
1787689500000,DOWN,78897.0,78771.713,DOWN,78889.48376608486,78764.2312269162,true,-15.879817990544206,-15.876962706466252,15.876962706466252
1787689800000,DOWN,78772.6,78749.723,DOWN,78764.2312269162,78746.9376937791,true,-2.904182418760798,-2.195607430902222,2.195607430902222
1787690100000,DOWN,78755.2,78589.237,DOWN,78746.9376937791,78576.43327033926,true,-21.073275161513575,-21.652197334056716,21.073275161513575
1787690400000,DOWN,78588.0,78443.537,DOWN,78576.43327033926,78461.44572674656,true,-18.3823230009675,-14.63384615551139,14.63384615551139
1787690700000,DOWN,78469.4,78217.627,DOWN,78461.44572674656,78212.36558621802,true,-32.08550084491548,-31.745545627084613,31.745545627084613
1787691000000,UP,78224.6,78300.363,UP,78212.36558621802,78275.067102935,true,9.685316383847502,8.016829084125948,8.016829084125948
1787691300000,DOWN,78282.2,78210.737,DOWN,78275.067102935,78191.41348313939,true,-9.128895202230312,-10.687134855548273,9.128895202230312
1787691600000,UP,78197.8,78209.22,DOWN,78191.41348313939,78200.61222806132,false,1.4603991416636086,1.1764392677098785,1.1764392677098785
