venue,side,tau_s,ask,ask_sz,payoff
okx,UP,1.499,0.9,40.0,0.0
okx,DOWN,1.499,0.9,,1.0
binance,UP,1.499,0.04,10.0,0.0
binance,DOWN,1.499,0.97,,1.0
okx,DOWN,1.5,0.02,,0.0
binance,UP,1.5,0.85,36.66,1.0
binance,DOWN,1.5,0.28,,0.0
okx,DOWN,1.5,0.03,,0.0
okx,DOWN,1.5,0.15,,0.0
binance,UP,1.5,0.99,535.9804689159638,1.0
binance,DOWN,1.5,0.07,,0.0
okx,DOWN,1.5,0.023,,0.0
okx,DOWN,1.5,0.12,,0.0
binance,UP,1.5,0.99,8.969093301435407,1.0
binance,DOWN,1.5,0.02,,0.0
okx,UP,1.5,0.12,10.0,0.0
okx,UP,1.499,0.9,20.1,0.0
binance,UP,1.499,0.99,1396.3312555555556,1.0
binance,DOWN,1.499,0.17,,0.0
okx,DOWN,1.5,0.12,,0.0
okx,DOWN,1.5,0.024,,0.0
polymarket,UP,1.5,0.02,778.13,0.0
polymarket,DOWN,1.5,0.99,,1.0
okx,DOWN,1.5,0.76,,0.0
okx,UP,1.5,0.33,13.5,0.0
okx,UP,1.5,0.9,10.0,1.0
okx,DOWN,1.5,0.9,,0.0
okx,UP,1.5,0.9,70.0,0.0
okx,DOWN,1.5,0.59,,1.0
okx,UP,1.499,0.9,70.0,0.0
binance,UP,1.499,0.02,30.0,0.0
binance,UP,1.499,0.08,55.0,0.0
binance,DOWN,1.499,0.98,,1.0
okx,DOWN,1.499,0.021,,0.0
okx,DOWN,1.499,0.33,,0.0
okx,DOWN,1.5,0.14,,0.0
okx,DOWN,1.5,0.33,,0.0
binance,DOWN,1.5,0.02,,0.0
okx,UP,1.5,0.33,5.4,0.0
polymarket,UP,1.5,0.02,409.4,0.0
polymarket,DOWN,1.5,0.99,,1.0
binance,UP,1.5,0.98,86.77514436777429,1.0
binance,DOWN,1.5,0.2,,0.0
okx,UP,1.499,0.07,11.9,0.0
okx,DOWN,1.5,0.9,,0.0
binance,UP,1.5,0.99,171.63186078705226,1.0
binance,DOWN,1.5,0.25,,0.0
okx,UP,1.5,0.1,10.0,0.0
okx,DOWN,1.5,0.59,,0.0
binance,UP,1.5,0.85,68.65962052481444,0.0
binance,DOWN,1.5,0.22,,1.0
okx,DOWN,1.5,0.18,,0.0
okx,UP,1.5,0.12,10.7,0.0
okx,UP,1.498,0.11,9.0,0.0
okx,DOWN,1.5,0.9,,0.0
binance,UP,1.5,0.99,438.17720121194395,1.0
binance,DOWN,1.5,0.02,,0.0
okx,DOWN,1.5,0.33,,0.0
okx,DOWN,1.5,0.06,,0.0
binance,UP,1.5,0.99,344.3846965351386,1.0
binance,DOWN,1.5,0.02,,0.0
okx,UP,1.5,0.1,16.9,0.0
okx,DOWN,1.5,0.33,,0.0
okx,DOWN,1.5,0.16,,0.0
binance,UP,1.5,0.98,39.9475805585392,1.0
binance,DOWN,1.5,0.03,,0.0
okx,DOWN,1.5,0.33,,0.0
okx,DOWN,1.5,0.07,,0.0
okx,UP,1.5,0.9,40.0,0.0
okx,DOWN,1.5,0.2,,0.0
okx,DOWN,1.5,0.33,,0.0
binance,UP,1.5,0.99,388.29295757575755,1.0
binance,DOWN,1.5,0.02,,0.0
okx,UP,1.5,0.32,17.0,0.0
binance,UP,1.5,0.02,216.67,0.0
binance,DOWN,1.5,0.99,,1.0
okx,DOWN,1.5,0.1,,0.0
okx,DOWN,1.5,0.04,,0.0
okx,DOWN,1.5,0.05,,0.0
okx,DOWN,1.5,0.12,,0.0
okx,DOWN,1.5,0.8,,0.0
binance,UP,1.5,0.99,529.3014160791589,1.0
binance,DOWN,1.5,0.07,,0.0
okx,UP,1.5,0.27,5.5,0.0
binance,UP,1.5,0.17,10.0,0.0
binance,DOWN,1.5,0.99,,1.0
okx,DOWN,1.499,0.12,,0.0
binance,UP,1.499,0.82,22.36,1.0
binance,DOWN,1.499,0.2,,0.0
okx,UP,1.5,0.11,20.0,0.0
okx,DOWN,1.5,0.33,,0.0
okx,DOWN,1.499,0.11,,0.0
okx,DOWN,1.5,0.33,,0.0
binance,UP,1.5,0.99,556.8654262626262,1.0
