venue,window_start_ms,side,tau_s,ask,model_p,pnl,won
binance,1787885700000,UP,19.5,0.83,0.9847885744492385,0.16689580000000004,true
binance,1787888700000,UP,4.5,0.92,0.9809620846418423,0.07838079999999996,true
binance_eth,1787880000000,UP,7.4990000000000006,0.89,0.9792520274342879,0.10784619999999999,true
binance,1787871000000,UP,10.5,0.67,0.9722733162120364,0.3251358,true
binance,1787844900000,UP,18.5,0.93,0.9720561444788217,0.06856779999999996,true
binance_eth,1787925900000,UP,19.999,0.66,0.9754755500383784,-0.6649368,false
binance,1787870400000,UP,10.999,0.88,0.9700754611156348,0.1176768,true
binance,1787879100000,UP,1.499,0.82,0.9879649809283464,0.17675280000000004,true
binance,1787894100000,UP,1.999,0.71,0.9966158001807055,-0.7145298,false
binance,1787925900000,UP,5.5,0.9,0.9999999999975198,0.09801999999999998,true
binance_eth,1787881800000,UP,2.0,0.93,0.9896531278030694,0.06856779999999996,true
binance_eth,1787885700000,UP,19.5,0.67,0.9930297609969273,-0.6748642,false
binance_eth,1787877000000,UP,20.0,0.92,0.9990865638144626,0.07838079999999996,true
binance,1787880000000,UP,20.0,0.9,0.9987791579518271,0.09801999999999998,true
polymarket_eth,1787903700000,UP,1.5,0.01,0.9821877534021768,-0.0102178,false
binance_eth,1787926800000,DOWN,17.5,0.8,0.970955428590641,-0.80352,false
binance,1787880600000,UP,6.5,0.85,0.9712518742940305,0.14719500000000002,true
