venue,window_start_ms,side,tau_s,ask,model_p,sigma,pnl,won
okx,1787687700000,UP,249.499,0.37,0.45304299166945955,1.1018393764058034,0.63,true
okx,1787687700000,DOWN,225.5,0.51,0.5414865141246726,1.1018393764058034,-0.51,false
okx,1787688000000,UP,264.999,0.42,0.49154660496149044,1.1018393764058034,-0.42,false
okx,1787688000000,DOWN,211.0,0.51,0.5409827065394682,1.1018393764058034,0.49,true
okx,1787688300000,DOWN,253.0,0.41,0.46508714693430886,1.1018393764058034,-0.41,false
okx,1787688300000,UP,41.5,0.79,0.8677350319052053,1.1018393764058034,0.20999999999999996,true
okx,1787688600000,UP,236.5,0.36,0.40334616163867676,1.1018393764058034,-0.36,false
okx,1787688600000,DOWN,57.628,0.48,0.5108844241148569,1.1018393764058034,0.52,true
okx,1787688900000,DOWN,245.5,0.46,0.491505262010425,1.1018393764058034,-0.46,false
okx,1787688900000,UP,193.5,0.46,0.5069289517005127,1.1018393764058034,0.54,true
okx,1787689200000,UP,277.5,0.38,0.41746911619204063,1.1018393764058034,-0.38,false
okx,1787689500000,UP,280.0,0.32,0.3798342950347413,1.1018393764058034,-0.32,false
okx,1787689500000,DOWN,61.5,0.92,0.950548827477454,1.1018393764058034,0.07999999999999996,true
okx,1787689800000,UP,258.5,0.43,0.4680155937433705,1.1018393764058034,-0.43,false
okx,1787689800000,DOWN,186.5,0.51,0.6257396481038779,1.1018393764058034,0.49,true
okx,1787690100000,DOWN,264.0,0.41,0.45932584204275073,1.1018393764058034,0.5900000000000001,true
okx,1787690100000,UP,225.0,0.38,0.4596120950122761,1.1018393764058034,-0.38,false
okx,1787690400000,DOWN,258.5,0.48,0.5377684274114333,1.1018393764058034,0.52,true
okx,1787690400000,UP,248.999,0.37,0.4242569709434755,1.1018393764058034,-0.37,false
okx,1787690700000,DOWN,267.0,0.33,0.3667536743280575,1.1018393764058034,0.6699999999999999,true
okx,1787690700000,UP,214.0,0.24,0.33212349849481465,1.1018393764058034,-0.24,false
okx,1787691000000,UP,242.99,0.85,0.8992354913134295,1.1018393764058034,0.15000000000000002,true
okx,1787691000000,DOWN,183.0,0.12,0.15008994557227506,1.1018393764058034,-0.12,false
okx,1787691300000,DOWN,211.0,0.68,0.763228735390733,1.1018393764058034,0.31999999999999995,true
okx,1787691300000,UP,176.5,0.18,0.2138160181469611,1.1018393764058034,-0.18,false
okx,1787691600000,UP,229.999,0.39,0.4555180053930191,1.1018393764058034,0.61,true
okx,1787691600000,DOWN,195.999,0.62,0.6595331749600372,1.1018393764058034,-0.62,false
okx,1787691900000,UP,280.0,0.6,0.6464960255117336,1.1018393764058034,-0.6,false
okx,1787691900000,DOWN,236.994,0.26,0.29729915396929063,1.1018393764058034,0.74,true
