window_start_ms,direction,close,entry_tau_s,exit_tau_s,cost,proceeds,pnl,favorable
1787688000000,pmUP+okxDOWN,converged,280.0,279.499,1.026653,0.9832,-0.043453000000000075,true
1787688000000,pmUP+okxDOWN,converged,271.499,268.999,1.026653,0.8735080000000001,-0.15314499999999998,true
1787688000000,okxUP+pmDOWN,converged,264.999,262.999,1.017052,0.922948,-0.09410400000000008,false
1787688000000,pmUP+okxDOWN,converged,261.0,260.5,0.987052,0.8830669999999999,-0.1039850000000001,true
1787688000000,pmUP+okxDOWN,converged,260.0,231.5,0.997052,0.884768,-0.11228400000000005,true
1787688000000,pmUP+okxDOWN,converged,220.491,216.5,0.998428,0.8855869999999999,-0.11284100000000008,true
1787688000000,pmUP+okxDOWN,converged,216.0,205.0,0.9449730000000001,0.902948,-0.04202500000000009,true
1787688000000,pmUP+okxDOWN,converged,204.0,196.5,0.994413,0.895888,-0.09852499999999997,true
1787688000000,pmUP+okxDOWN,converged,192.5,184.5,1.013468,0.846532,-0.16693600000000008,true
1787688000000,pmUP+okxDOWN,converged,184.0,128.0,1.123797,0.8826080000000001,-0.24118899999999988,true
1787688000000,pmUP+okxDOWN,settled,124.0,90.5,1.0563,1.0,-0.05630000000000002,true
1787688300000,okxUP+pmDOWN,settled,280.0,85.5,1.007157,1.0,-0.00715700000000008,false
1787688600000,okxUP+pmDOWN,converged,280.0,219.0,1.047052,0.855888,-0.1911640000000001,false
1787688600000,okxUP+pmDOWN,converged,218.5,212.5,1.004413,0.8345230000000001,-0.16988999999999987,false
1787688600000,okxUP+pmDOWN,converged,212.0,201.5,1.015232,0.9283870000000001,-0.08684499999999984,false
1787688600000,pmUP+okxDOWN,converged,189.5,189.0,1.093125,0.846875,-0.24624999999999986,true
1787688600000,okxUP+pmDOWN,converged,187.5,149.5,1.043468,0.8347680000000001,-0.2087,false
1787688600000,okxUP+pmDOWN,converged,149.0,145.999,1.0347,0.8340750000000001,-0.20062499999999983,false
1787688600000,okxUP+pmDOWN,converged,145.5,127.48700000000001,0.995708,0.847603,-0.14810500000000004,false
1787688600000,okxUP+pmDOWN,converged,127.0,119.5,1.012768,0.9120830000000001,-0.1006849999999998,false
1787688600000,okxUP+pmDOWN,converged,119.0,115.0,1.0284280000000001,0.9115719999999999,-0.11685600000000018,false
