venue,tau_bin,gap_bin,n,b_mean,b_std,spread_med
binance,15,-2.5,19,0.048684210526315795,0.02570355062282025,0.03
binance,15,0,35,0.22042857142857142,0.30688513713596166,0.019999999999999907
binance,15,2.5,45,0.9096666666666667,0.13607902116050075,0.010000000000000009
binance,30,-5,19,0.016578947368421054,0.004729526514634587,0.01
binance,30,0,97,0.44376288659793817,0.20881988716334968,0.010000000000000009
binance,30,2.5,44,0.8769318181818182,0.11665999049658733,0.010000000000000009
binance,30,5,24,0.9179166666666667,0.11116885576794258,0.010000000000000009
binance,60,-10,27,0.019444444444444445,0.0032025630761017432,0.019999999999999997
binance,60,-7.5,9,0.025555555555555557,0.0016666666666666666,0.009999999999999998
binance,60,-5,44,0.04818181818181819,0.024990484447013142,0.010000000000000002
binance,60,-2.5,14,0.20392857142857143,0.07884206636416519,0.010000000000000009
binance,60,0,189,0.43589947089947095,0.14550987189489073,0.010000000000000009
binance,60,2.5,73,0.7506164383561644,0.16192407601309355,0.010000000000000009
binance,60,5,67,0.8964925373134328,0.09021025493246126,0.010000000000000009
binance,60,7.5,32,0.9790625,0.007343803620257246,0.010000000000000009
binance,60,10,3,0.9700000000000001,0.0,0.020000000000000018
binance,90,-10,53,0.03132075471698113,0.010748476788159439,0.010000000000000002
binance,90,-7.5,52,0.04451923076923077,0.010061556392712837,0.010000000000000009
binance,90,-5,5,0.065,0.0,0.010000000000000009
binance,90,-2.5,57,0.3368421052631579,0.026853298197058544,0.010000000000000009
binance,90,0,150,0.5078666666666666,0.0762465681187563,0.010000000000000009
binance,90,2.5,80,0.683,0.08463473267331524,0.010000000000000009
binance,90,5,68,0.8668382352941176,0.058647087773409684,0.010000000000000009
binance,90,7.5,44,0.9438636363636363,0.012382641468005056,0.010000000000000009
binance,120,-12.5,23,0.045,0.0,0.010000000000000002
binance,120,-10,37,0.03864864864864865,0.009548752728952545,0.010000000000000002
binance,120,-5,70,0.18842857142857142,0.06089039129084978,0.010000000000000009
binance,120,-2.5,87,0.36149425287356324,0.06258536004664249,0.010000000000000009
binance,120,0,121,0.4411570247933884,0.10372391304680449,0.010000000000000009
binance,120,2.5,67,0.7603731343283582,0.03223156547166782,0.010000000000000009
binance,120,5,68,0.7903676470588235,0.06495300354108269,0.010000000000000009
binance,120,7.5,38,0.9418421052631579,0.004989320030525029,0.010000000000000009
binance,180,-15,54,0.03277777777777778,0.008614745293854456,0.010000000000000002
binance,180,-12.5,53,0.046226415094339626,0.004483480402175398,0.010000000000000002
binance,180,-10,18,0.09083333333333334,0.06686795592368415,0.010000000000000002
binance,180,-7.5,82,0.17676829268292685,0.036424892716310886,0.010000000000000009
binance,180,-5,86,0.1655813953488372,0.05222923795015226,0.010000000000000009
binance,180,-2.5,150,0.3398,0.05626483398735095,0.010000000000000009
binance,180,0,228,0.5191885964912281,0.1262902553321279,0.010000000000000009
binance,180,2.5,149,0.6578187919463088,0.10797165879959493,0.010000000000000009
binance,180,5,150,0.7900666666666667,0.08810835813956122,0.010000000000000009
binance,180,7.5,82,0.8639634146341463,0.03646186748904828,0.010000000000000009
binance,240,-15,33,0.08409090909090909,0.005222329678670928,0.009999999999999995
binance,240,-12.5,20,0.08525,0.00979728748711923,0.009999999999999995
binance,240,-10,32,0.1040625,0.010506334494776426,0.009999999999999995
binance,240,-7.5,45,0.1388888888888889,0.01718511806268094,0.010000000000000009
binance,240,-5,91,0.2549450549450549,0.04543918099745168,0.010000000000000009
binance,240,-2.5,346,0.3943208092485549,0.09612364305479602,0.010000000000000009
binance,240,0,160,0.4609375,0.08265292192744703,0.010000000000000009
binance,240,2.5,218,0.6484862385321101,0.08389428444073531,0.010000000000000009
binance,240,5,180,0.7160833333333334,0.0459908753398447,0.010000000000000009
binance,300,-7.5,3,0.205,0.0,0.009999999999999981
binance,300,-5,104,0.27081730769230766,0.0621269862135777,0.010000000000000009
binance,300,-2.5,206,0.4397330097087379,0.06998642082694156,0.010000000000000009
binance,300,0,476,0.49339285714285713,0.054347721314053986,0.010000000000000009
binance,300,2.5,211,0.6182938388625593,0.06396002404741057,0.010000000000000009
binance,300,5,10,0.7255,0.0015811388300841812,0.010000000000000009
okx,15,-27.5,54,0.04660185185185185,0.03902386541563557,0.158
okx,15,-25,7,0.04635714285714286,0.04196001498025063,0.12000000000000001
okx,15,-22.5,37,0.06297297297297297,0.02491121622269161,0.139
okx,15,-20,13,0.026269230769230767,0.03384438369496936,0.009000000000000001
okx,15,-17.5,50,0.01117,0.01852786373799952,0.002
okx,15,-15,42,0.03021428571428571,0.030481930444505864,0.018
okx,15,-12.5,13,0.0135,0.0,0.024999999999999998
okx,15,-10,86,0.013505813953488372,0.0092505943166933,0.018
okx,15,-7.5,69,0.022152173913043482,0.019274774803717306,0.024
okx,15,-5,133,0.011654135338345865,0.009523730419470982,0.018
okx,15,-2.5,180,0.03413888888888889,0.034191052749864406,0.019999999999999997
okx,15,0,67,0.1986492537313433,0.26282631975412063,0.099
okx,15,2.5,73,0.8367191780821918,0.2823387443684222,0.08799999999999997
okx,15,5,171,0.9499766081871345,0.04082191643430162,0.05900000000000005
okx,15,7.5,103,0.9774029126213593,0.025315466311540094,0.019000000000000017
okx,15,10,72,0.9860277777777777,0.013639702014652439,0.018000000000000016
okx,15,12.5,31,0.9718387096774194,0.020290550796193404,0.04600000000000004
okx,15,15,51,0.9477254901960783,0.039591957987132935,0.08999999999999997
okx,15,17.5,6,0.9467500000000001,0.05230750424174331,0.10349999999999998
okx,15,20,3,0.964,0.0,0.06799999999999995
okx,15,22.5,14,0.9919285714285715,0.0014917354742965967,0.006000000000000005
okx,15,25,18,0.953,0.004365641250654045,0.05999999999999994
okx,30,-27.5,4,0.081,0.0,0.158
okx,30,-25,13,0.05692307692307692,0.06019200049073733,0.03
okx,30,-22.5,23,0.07610869565217392,0.03108015901801309,0.15000000000000002
okx,30,-20,58,0.02567241379310345,0.02742350632823132,0.038
okx,30,-17.5,54,0.03462962962962963,0.02337293733915867,0.0685
okx,30,-15,108,0.021231481481481483,0.02374931636260805,0.018
okx,30,-12.5,91,0.012076923076923077,0.011618214405962132,0.008
okx,30,-10,229,0.011783842794759827,0.01079220605270072,0.018
okx,30,-7.5,174,0.020985632183908046,0.0383188791273298,0.019
okx,30,-5,358,0.02257541899441341,0.022830330438239163,0.017
okx,30,-2.5,123,0.05676829268292683,0.11951783755825807,0.060000000000000005
okx,30,0,68,0.17955147058823528,0.25803841174930453,0.098
okx,30,2.5,41,0.7605975609756097,0.23426102480759023,0.13
okx,30,5,175,0.9398514285714286,0.05460577824793258,0.09599999999999997
okx,30,7.5,189,0.9747486772486772,0.02032447065198934,0.02400000000000002
okx,30,10,212,0.9831721698113208,0.01590067896280332,0.019000000000000017
okx,30,12.5,91,0.9869340659340659,0.027150732422206794,0.016000000000000014
okx,30,15,72,0.9766041666666667,0.026421547104748686,0.018000000000000016
okx,30,17.5,39,0.927525641025641,0.03961375171876762,0.19799999999999995
okx,30,20,42,0.9776071428571429,0.017862119515579575,0.010999999999999954
okx,30,22.5,53,0.9817358490566037,0.019091027839715072,0.018000000000000016
okx,30,25,43,0.9723720930232558,0.017228192918273058,0.06999999999999995
okx,30,30,16,0.988375,0.01537042614893938,0.008000000000000007
okx,60,-27.5,151,0.037910596026490065,0.03530312007423306,0.03899999999999999
okx,60,-25,54,0.029342592592592594,0.04483921212616295,0.017
okx,60,-22.5,50,0.01828,0.06053630720316461,0.008
okx,60,-20,190,0.03580263157894737,0.03586850239329239,0.056999999999999995
okx,60,-17.5,202,0.037866336633663365,0.024610082782727104,0.056999999999999995
